Order_ID,Order_Date,Customer_ID,Product_Category,Sales,Quantity,Profit,Discount
REG100000,2023-02-23,Cust 6583,Electronics,2290.4,14,658,0
REG100001,2024-12-19,Cust 2144,Furniture,544.01,1,64,0
REG100002,2023-05-10,Cust 5998,Furniture,4361.868,14,146,0.1
REG100003,2025-02-26,Cust 7136,Electronics,5887.746,18,712,0.15
REG100004,2023-06-24,Cust 6506,Electronics,4279.68,18,1151,0
REG100005,2024-02-20,Cust 3909,Clothing,654.653,2,247,0.15
REG100006,2023-01-11,Cust 7887,Clothing,110.25,7,-275,0.1
REG100007,2023-01-09,Cust 5301,Clothing,842.061,3,-213,0.15
REG100008,2024-10-16,Cust 2284,Clothing,1231.314,3,-44,0.05
REG100009,2025-03-05,Cust 3732,Clothing,1454.76,5,-54,0.1
REG100010,2024-04-10,Cust 1462,Clothing,6671.9475,15,-190,0.15
REG100011,2024-07-12,Cust 4330,Electronics,3545.685,19,-234,0.1
REG100012,2023-07-21,Cust 2372,Electronics,114.5035,1,-891,0.05
REG100013,2025-01-18,Cust 4672,Furniture,134.1555,1,-492,0.15
REG100014,2024-12-08,Cust 4548,Furniture,2808.825,15,1050,0.15
REG100015,2025-05-11,Cust 7037,Clothing,2631.804,17,-3,0.05
REG100016,2023-02-26,Cust 4975,Furniture,4486.09,19,433,0
REG100017,2024-05-28,Cust 8014,Clothing,10000,11,1,0.05
REG100018,2023-11-30,Cust 1228,Furniture,8823.68,20,721,0.15
REG100019,2023-06-22,Cust 4247,Clothing,431.62,14,-1,0
REG100020,2025-06-05,Cust 4199,Furniture,3190.5,10,-624,0
REG100021,2023-03-03,Cust 4186,Electronics,4160.107,14,95,0.05
REG100022,2024-02-18,Cust 8137,Electronics,5536.3,14,254,0
REG100023,2023-08-06,Cust 4638,Clothing,4821.744,12,-33,0.15
REG100024,2024-05-23,Cust 8538,Clothing,100000,5,2,0
REG100025,2023-10-23,Cust 6322,Electronics,7309.77,13,782,0
REG100026,2025-06-16,Cust 2609,Electronics,101.73,1,370,0
REG100027,2023-03-03,Cust 6880,Electronics,1117.96,4,-266,0
REG100028,2024-11-18,Cust 1997,Furniture,151.7675,1,-56,0.15
REG100029,2023-05-09,Cust 7072,Clothing,424.863,1,-1,0.1
REG100030,2024-12-07,Cust 7201,Furniture,3675.48,12,202,0
REG100031,2024-02-13,Cust 9923,Clothing,2586.8815,7,113,0.15
REG100032,2025-03-09,Cust 2205,Electronics,389.88,6,1303,0
REG100033,2023-04-05,Cust 6403,Clothing,8100.33,17,-15,0
REG100034,2025-05-08,Cust 3953,Furniture,1903.048,4,122,0.15
REG100035,2023-09-03,Cust 7902,Electronics,1149.96,14,-212,0
REG100036,2025-03-21,Cust 9968,Clothing,2934.4455,9,-1,0.05
REG100037,2025-06-20,Cust 3787,Furniture,1791.0095,7,802,0.15
REG100038,2024-02-15,Cust 2469,Clothing,5394.438,14,0,0.1
REG100039,2023-06-09,Cust 6468,Clothing,855.576,2,-7,0.15
REG100040,2023-08-10,Cust 5312,Clothing,2116.44,5,564,0.1
REG100041,2024-06-16,Cust 1482,Clothing,1238.23,20,3,0.05
REG100042,2023-07-23,Cust 7903,Electronics,434.04,12,-77,0
REG100043,2023-05-20,Cust 9605,Clothing,1561.654,4,5,0.15
REG100044,2023-06-30,Cust 3298,Furniture,790.514,2,980,0.05
REG100045,2024-06-04,Cust 5533,Electronics,4841.28,16,-448,0
REG100046,2025-02-03,Cust 6362,Electronics,309.7655,11,340,0.15
REG100047,2024-01-09,Cust 4826,Furniture,3961.136,8,460,0.15
REG100048,2024-03-14,Cust 2171,Clothing,743.175,5,0,0.1
REG100049,2024-09-06,Cust 4005,Electronics,2889.558,14,-439,0.15
REG100050,2023-03-17,Cust 7032,Electronics,772.083,13,106,0.1
REG100051,2025-01-17,Cust 7167,Clothing,503.38,2,-123,0
REG100052,2024-09-12,Cust 5702,Clothing,242.469,1,239,0.1
REG100053,2024-01-05,Cust 4944,Clothing,705.47,2,199,0.05
REG100054,2024-04-19,Cust 8149,Clothing,2695.044,11,-2,0.15
REG100055,2025-06-11,Cust 3638,Clothing,2432.2375,11,624,0.05
REG100056,2025-03-06,Cust 9973,Furniture,2113.746,17,206,0.15
REG100057,2023-05-24,Cust 4214,Clothing,451.71,5,-5,0.1
REG100058,2023-01-27,Cust 2647,Clothing,3923.766,11,4,0.05
REG100059,2024-03-21,Cust 3552,Furniture,5418.819,18,1864,0.05
REG100060,2025-01-25,Cust 3354,Electronics,5016.02,20,147,0.15
REG100061,2023-06-12,Cust 3903,Clothing,2413.44,8,2,0
REG100062,2025-03-22,Cust 5358,Electronics,1283.553,3,-193,0.1
REG100063,2024-02-24,Cust 8144,Electronics,642.6,16,527,0.15
REG100064,2023-12-09,Cust 6747,Furniture,7667.55,15,342,0
REG100065,2023-10-01,Cust 8330,Clothing,179.766,3,7,0.1
REG100066,2023-07-31,Cust 7186,Clothing,2329.97,5,2,0.05
REG100067,2024-12-24,Cust 8287,Clothing,3085.296,8,-12,0.05
REG100068,2024-11-15,Cust 3986,Furniture,143.469,1,536,0.1
REG100069,2025-03-13,Cust 3213,Electronics,523.464,16,-38,0.15
REG100070,2024-03-03,Cust 1907,Electronics,4186.59,15,573,0.15
REG100071,2023-02-11,Cust 4639,Electronics,9864.18,20,-16,0.1
REG100072,2023-10-26,Cust 4153,Clothing,5982.9575,13,-2,0.05
REG100073,2023-10-21,Cust 7096,Electronics,2418.624,13,65,0.05
REG100074,2024-01-14,Cust 3806,Clothing,483.531,19,97,0.15
REG100075,2023-07-27,Cust 9345,Electronics,4985.19,10,264,0.1
REG100076,2024-10-23,Cust 4456,Clothing,5613.552,14,-13,0.1
REG100077,2023-09-26,Cust 1089,Clothing,2344.215,5,73,0.15
REG100078,2023-12-16,Cust 7230,Electronics,3138.2,13,-68,0
REG100079,2024-01-02,Cust 6597,Clothing,6686.67,19,-2,0
REG100080,2024-02-16,Cust 4108,Clothing,318.25,4,-2,0.05
REG100081,2024-05-03,Cust 2883,Electronics,1772.0375,5,-916,0.15
REG100082,2023-05-27,Cust 5018,Clothing,2435.553,18,-93,0.05
REG100083,2023-01-05,Cust 1231,Clothing,6990.24,12,3,0
REG100084,2025-05-21,Cust 2209,Electronics,2202.52,20,192,0.15
REG100085,2023-07-21,Cust 6684,Clothing,7340.94,17,-72,0
REG100086,2025-05-25,Cust 5289,Furniture,237.75,15,67,0
REG100087,2024-11-16,Cust 9159,Clothing,9870.12,20,24,0.1
REG100088,2023-11-19,Cust 4844,Clothing,7992.616,16,16,0.05
REG100089,2025-01-12,Cust 3273,Furniture,5862.165,15,-274,0.05
